count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
0,0.020000,2.028259,-36.965980,-22.015220,-0.935905,0.899534,-6.855026,-1.102197,1.489412,-6.433552,-0.640809,-0.761677,-0.095979,Idle
1,0.020000,-9.548532,0.175760,-0.445941,-0.937648,0.930157,-6.819760,-0.935905,0.899534,-6.855026,-0.964466,-0.138166,-0.225200,Idle
2,0.020000,-9.132115,0.569620,-1.875353,-0.939510,0.960578,-6.783436,-0.937648,0.930157,-6.819760,-0.921406,-0.096985,-0.376305,Idle
3,0.020000,-8.737067,-0.767390,-4.394730,-0.939512,0.960568,-6.783437,-0.939510,0.960578,-6.783436,-0.890619,-0.078176,-0.447980,Idle
4,0.020000,-8.737017,-0.767247,-4.394847,-0.939514,0.960554,-6.783437,-0.939512,0.960568,-6.783437,-0.890613,-0.078138,-0.447999,Idle
5,0.020000,-8.736992,-0.766501,-4.394776,-0.939515,0.960547,-6.783434,-0.939514,0.960554,-6.783437,-0.890614,-0.078098,-0.448004,Idle
6,0.020000,-8.737114,-0.766225,-4.394814,-0.939517,0.960539,-6.783435,-0.939515,0.960547,-6.783434,-0.890625,-0.078065,-0.447988,Idle
7,0.020000,-8.737244,-0.766066,-4.394613,-0.939519,0.960528,-6.783435,-0.939517,0.960539,-6.783435,-0.890636,-0.078035,-0.447970,Idle
8,0.020000,-8.737336,-0.765825,-4.394295,-0.939521,0.960515,-6.783432,-0.939519,0.960528,-6.783435,-0.890647,-0.078002,-0.447955,Idle
9,0.020000,-8.737443,-0.765483,-4.394174,-0.939523,0.960502,-6.783429,-0.939521,0.960515,-6.783432,-0.890655,-0.077963,-0.447945,Idle
10,0.020000,-8.737423,-0.764503,-4.394137,-0.939522,0.960501,-6.783430,-0.939523,0.960502,-6.783429,-0.890670,-0.077925,-0.447922,Idle
11,0.020000,-8.737659,-0.764282,-4.393826,-0.939522,0.960499,-6.783431,-0.939522,0.960501,-6.783430,-0.890690,-0.077899,-0.447888,Idle
12,0.020000,-8.737845,-0.764509,-4.393621,-0.939524,0.960491,-6.783431,-0.939522,0.960499,-6.783431,-0.890699,-0.077892,-0.447872,Idle
13,0.020000,-8.737824,-0.764590,-4.393662,-0.939526,0.960481,-6.783431,-0.939524,0.960491,-6.783431,-0.890697,-0.077888,-0.447876,Idle
14,0.020000,-8.737786,-0.764474,-4.393826,-0.939528,0.960471,-6.783431,-0.939526,0.960481,-6.783431,-0.890691,-0.077875,-0.447890,Idle
15,0.020000,-8.737652,-0.763910,-4.394020,-0.939529,0.960469,-6.783432,-0.939528,0.960471,-6.783431,-0.890684,-0.077864,-0.447905,Idle
16,0.020000,-8.737620,-0.764040,-4.394134,-0.939530,0.960465,-6.783433,-0.939529,0.960469,-6.783432,-0.890678,-0.077859,-0.447919,Idle
17,0.020000,-8.737562,-0.764371,-4.394320,-0.939532,0.960452,-6.783434,-0.939530,0.960465,-6.783433,-0.890667,-0.077853,-0.447941,Idle
18,0.020000,-6.403208,9.141804,2.842272,-0.945059,1.153543,-6.573703,-0.939532,0.960452,-6.783434,-0.624554,-0.052267,-0.779231,Idle
19,0.020000,-2.406103,-0.168947,-9.508610,-0.945061,1.153540,-6.573698,-0.945059,1.153543,-6.573703,-0.245263,-0.017206,-0.969304,Idle
20,0.020000,-2.405836,-0.168789,-9.508756,-0.945060,1.153536,-6.573695,-0.945061,1.153540,-6.573698,-0.245244,-0.017186,-0.969309,Idle
21,0.020000,-2.405709,-0.168623,-9.508800,-0.945061,1.153531,-6.573691,-0.945060,1.153536,-6.573695,-0.245228,-0.017166,-0.969314,Idle
22,0.020000,-2.405739,-0.168522,-9.508856,-0.945063,1.153527,-6.573689,-0.945061,1.153531,-6.573691,-0.245225,-0.017158,-0.969315,Idle
23,0.020000,-2.405636,-0.168224,-9.508869,-0.945063,1.153528,-6.573687,-0.945063,1.153527,-6.573689,-0.245220,-0.017154,-0.969316,Idle
24,0.020000,-2.405450,-0.168072,-9.508934,-0.945063,1.153532,-6.573685,-0.945063,1.153528,-6.573687,-0.245203,-0.017150,-0.969320,Idle
25,0.020000,-2.405508,-0.168108,-9.508932,-0.945063,1.153534,-6.573683,-0.945063,1.153532,-6.573685,-0.245214,-0.017147,-0.969317,Idle
26,0.020000,11.752410,15.858430,-7.473187,-0.811719,1.496836,-6.557413,-0.945063,1.153534,-6.573683,0.518370,-0.133201,-0.844719,Idle
27,0.020000,9.463855,-1.645212,-1.991719,-0.811714,1.496838,-6.557403,-0.811719,1.496836,-6.557413,0.964692,-0.167716,-0.203081,Idle
28,0.020000,9.463893,-1.645099,-1.992551,-0.811709,1.496838,-6.557410,-0.811714,1.496838,-6.557403,0.964695,-0.167700,-0.203078,Idle
29,0.020000,9.463881,-1.645046,-1.993143,-0.811704,1.496838,-6.557425,-0.811709,1.496838,-6.557410,0.964693,-0.167690,-0.203097,Idle
30,0.020000,9.463625,-1.644901,-1.993328,-0.811703,1.496840,-6.557439,-0.811704,1.496838,-6.557425,0.964687,-0.167688,-0.203125,Idle
31,0.020000,9.463593,-1.644823,-1.993484,-0.811702,1.496843,-6.557449,-0.811703,1.496840,-6.557439,0.964681,-0.167680,-0.203158,Idle
32,0.020000,9.463661,-1.644615,-1.993669,-0.811699,1.496843,-6.557455,-0.811702,1.496843,-6.557449,0.964679,-0.167648,-0.203197,Idle
